date,Mkt-RF,SMB,HML,RMW,CMA,RF,UMD
1980-01-31,0.055000,0.018800,0.018500,-0.018400,0.018900,0.008000,0.074500
1980-02-29,-0.012300,-0.016200,0.005900,-0.009500,0.029200,0.008900,0.078900
1980-03-31,-0.128900,-0.069700,-0.009600,0.018200,-0.010500,0.012100,-0.095900
1980-04-30,0.039600,0.010500,0.010300,-0.021800,0.003400,0.012600,-0.004900
1980-05-31,0.052600,0.020000,0.003800,0.004300,-0.006300,0.008100,-0.011800
1980-06-30,0.029700,0.014600,-0.008000,-0.002000,-0.008100,0.006100,0.015800
1980-07-31,0.065100,0.037400,-0.062900,0.040600,-0.024400,0.005300,0.003000
1980-08-31,0.017500,0.042300,-0.024600,0.020500,-0.007300,0.006400,0.030600
1980-09-30,0.021900,0.006300,-0.046100,0.019000,-0.028600,0.007500,0.054300
1980-10-31,0.010400,0.022100,-0.029300,0.017700,-0.014300,0.009500,0.071300
1980-11-30,0.096000,-0.032700,-0.081100,0.042600,-0.055200,0.009600,0.151500
1980-12-31,-0.044600,-0.002800,0.028000,-0.012700,0.012700,0.013100,-0.066900
1981-01-31,-0.050600,0.033000,0.067400,-0.033800,0.042700,0.010400,-0.078100
1981-02-28,0.006100,-0.006500,0.009700,0.002600,0.020600,0.010700,-0.013700
1981-03-31,0.036600,0.028500,0.006100,-0.022700,-0.005600,0.012100,0.008200
1981-04-30,-0.021600,0.047200,0.022800,0.008100,0.015400,0.010800,-0.010800
1981-05-31,0.001300,0.023600,-0.004300,0.004700,-0.017800,0.011500,0.035800
1981-06-30,-0.023400,-0.009300,0.051400,-0.012900,0.026900,0.013500,-0.056900
1981-07-31,-0.015500,-0.019500,-0.006100,0.010800,-0.026600,0.012400,-0.024400
1981-08-31,-0.070200,-0.018200,0.047100,-0.003100,0.013800,0.012800,-0.011000
1981-09-30,-0.072000,-0.024600,0.051100,0.000800,0.025300,0.012400,0.021300
1981-10-31,0.049200,0.022800,-0.040900,0.031200,-0.027900,0.012100,0.038300
1981-11-30,0.034000,-0.015800,0.019100,0.001400,0.010000,0.010700,-0.002000
1981-12-31,-0.036300,0.011800,0.007900,0.002100,0.024500,0.008700,0.012700
1982-01-31,-0.032300,-0.011000,0.031900,-0.014300,0.019500,0.008000,0.017700
1982-02-28,-0.058600,0.004000,0.060900,-0.035500,0.045700,0.009200,0.048700
1982-03-31,-0.018200,0.000200,0.037600,-0.012800,0.023700,0.009800,0.029000
1982-04-30,0.032400,0.012100,-0.030800,0.015000,-0.000500,0.011300,-0.004600
1982-05-31,-0.039300,0.004100,0.017800,0.009600,-0.001200,0.010600,0.025100
1982-06-30,-0.030800,-0.005100,0.015600,0.000900,0.025300,0.009600,0.048800
1982-07-31,-0.032000,0.010100,0.000700,0.010000,0.014400,0.010500,0.044100
1982-08-31,0.111500,-0.044600,0.010900,-0.018500,0.001700,0.007600,-0.035900
1982-09-30,0.013200,0.025500,0.002300,0.021600,-0.000200,0.005100,0.041300
1982-10-31,0.112400,0.019600,-0.036200,0.002000,-0.003000,0.005900,0.000000
1982-11-30,0.046800,0.043900,-0.018000,-0.010200,0.002900,0.006300,0.059100
1982-12-31,0.005600,-0.001400,-0.000600,0.000000,0.010000,0.006700,-0.000200
1983-01-31,0.035900,0.034100,-0.007200,-0.015200,-0.005600,0.006900,-0.016400
1983-02-28,0.025900,0.028800,0.006600,-0.003600,0.010100,0.006200,0.036900
1983-03-31,0.028100,0.013700,0.020600,-0.001900,0.028000,0.006300,0.008800
1983-04-30,0.066500,0.004300,0.004300,-0.000700,0.015100,0.007100,0.016400
1983-05-31,0.005100,0.062600,-0.014000,-0.018100,-0.014300,0.006900,-0.015700
1983-06-30,0.030700,0.011600,-0.038900,0.025500,-0.007800,0.006700,0.018500
1983-07-31,-0.040600,0.010500,0.055400,-0.000700,0.028800,0.007400,-0.030800
1983-08-31,-0.005000,-0.043200,0.055900,0.005200,0.018500,0.007600,-0.053800
1983-09-30,0.009100,0.003000,0.009900,0.012100,0.005000,0.007600,-0.000100
1983-10-31,-0.034300,-0.037500,0.049600,-0.008200,0.030000,0.007600,-0.044600
1983-11-30,0.021600,0.018700,-0.007300,-0.006800,0.006400,0.007000,-0.001300
1983-12-31,-0.017700,-0.004200,0.017500,0.015500,0.013300,0.007300,0.008200
1984-01-31,-0.019200,0.000000,0.074800,-0.008800,0.028800,0.007600,-0.025700
1984-02-29,-0.047600,-0.015800,0.034100,0.010400,0.015100,0.007100,0.004500
1984-03-31,0.006500,-0.002500,0.005300,-0.009700,0.011500,0.007300,0.011000
1984-04-30,-0.005100,-0.009400,0.011900,0.033000,0.007700,0.008100,0.021400
1984-05-31,-0.059800,0.001400,0.002600,0.024100,-0.005100,0.007800,0.015200
1984-06-30,0.018100,0.001600,-0.027500,0.030800,-0.015700,0.007500,-0.005500
1984-07-31,-0.027200,-0.022100,0.003900,0.035200,-0.021600,0.008200,0.027800
1984-08-31,0.102700,-0.002800,-0.017400,-0.007300,-0.009100,0.008300,-0.056100
1984-09-30,-0.008000,-0.000400,0.052500,0.013700,0.023900,0.008600,0.036400
1984-10-31,-0.008400,-0.013400,0.005900,0.011400,-0.010400,0.010000,0.032800
1984-11-30,-0.017700,-0.010600,0.038700,0.008000,0.019500,0.007300,0.015700
1984-12-31,0.018400,-0.007400,-0.002900,0.012800,-0.012800,0.006400,0.014000
1985-01-31,0.079700,0.034500,-0.052100,-0.009900,-0.034600,0.006500,-0.067700
1985-02-28,0.012200,0.009700,-0.002400,0.014200,0.011000,0.005800,0.019100
1985-03-31,-0.008400,-0.013800,0.040100,0.012300,0.028600,0.006200,0.017900
1985-04-30,-0.009600,-0.001400,0.036000,0.016200,0.007100,0.007200,0.029500
1985-05-31,0.050700,-0.023600,-0.009800,0.012700,-0.014300,0.006600,0.040500
1985-06-30,0.012700,0.002100,0.003800,0.016900,-0.010200,0.005500,0.033900
1985-07-31,-0.007200,0.028500,-0.016200,-0.003600,-0.003700,0.006200,-0.037000
1985-08-31,-0.010100,-0.003000,0.023400,-0.001600,0.019300,0.005500,0.017800
1985-09-30,-0.045000,-0.018400,0.012100,0.011100,0.015800,0.006000,0.016000
1985-10-31,0.040000,-0.014700,0.007700,0.008800,-0.010600,0.006500,0.048600
1985-11-30,0.064600,-0.000500,-0.029100,0.003200,-0.023500,0.006100,-0.005700
1985-12-31,0.038800,-0.004100,-0.014600,0.009600,-0.017700,0.006500,-0.002300
1986-01-31,0.006500,0.009500,0.004600,-0.019900,-0.019900,0.005600,0.029500
1986-02-28,0.071400,-0.007200,-0.006300,0.011600,-0.012300,0.005300,0.025900
1986-03-31,0.049100,-0.006300,-0.003900,0.010000,0.008100,0.006000,0.023900
1986-04-30,-0.012800,0.028100,-0.028100,0.029000,-0.001000,0.005200,-0.003500
1986-05-31,0.046300,-0.012900,-0.001400,0.020700,0.011000,0.004900,0.020600
1986-06-30,0.010600,-0.008700,0.012000,0.018500,0.008300,0.005200,0.049400
1986-07-31,-0.064300,-0.035300,0.046600,-0.005500,0.008100,0.005200,0.019000
1986-08-31,0.060700,-0.043400,0.035400,-0.017100,0.033200,0.004600,-0.051600
1986-09-30,-0.085900,0.021000,0.032300,-0.001700,0.037100,0.004500,-0.056900
1986-10-31,0.046400,-0.023700,-0.014200,-0.000100,0.010100,0.004600,0.044700
1986-11-30,0.011600,-0.018600,-0.000200,0.009800,0.007000,0.003900,-0.002500
1986-12-31,-0.032600,0.001900,0.003600,0.008700,0.000900,0.004900,0.004600
1987-01-31,0.124400,-0.016100,-0.031800,0.001700,-0.010300,0.004200,0.020600
