Acronym,Authors,Year,Journal,Cat.Economic,LongDescription,Sign,T-Stat,Signal Rep Quality
OrgCap,Eisfeldt and Papanikolaou,2013,JF,R&D,Organizational capital,1.0,2.85,1_good
Accruals,Sloan,1996,AR,accruals,Accruals,-1.0,4.71,1_good
NOA,Hirshleifer et al.,2004,JAE,asset composition,Net Operating Assets,-1.0,8.45,1_good
OScore,Dichev,1998,JF,default risk,O Score,-1.0,3.36,1_good
AnnouncementReturn,"Chan, Jegadeesh and Lakonishok",1996,JF,earnings event,Earnings announcement return,1.0,9.25,1_good
ShareIss5Y,Daniel and Titman,2006,JF,external financing,Share issuance (5 year),-1.0,4.39,2_fair
ShareIss1Y,Pontiff and Woodgate,2008,JF,external financing,Share issuance (1 year),-1.0,7.08,1_good
CompositeDebtIssuance,"Lyandres, Sun and Zhang",2008,RFS,external financing,Composite debt issuance,-1.0,8.59,1_good
AssetGrowth,"Cooper, Gulen and Schill",2008,JF,investment,Asset growth,-1.0,8.45,1_good
InvestPPEInv,"Lyandres, Sun and Zhang",2008,RFS,investment,change in ppe and inv/assets,-1.0,7.13,1_good
BookLeverage,Fama and French,1992,JF,leverage,Book leverage (annual),-1.0,5.34,1_good
Illiquidity,Amihud,2002,JFM,liquidity,Amihud's illiquidity,1.0,6.6,1_good
IntanBM,Daniel and Titman,2006,JF,long term reversal,Intangible return using BM,-1.0,3.99,1_good
ResidualMomentum,"Blitz, Huij and Martens",2011,JEmpFin,momentum,Momentum based on FF3 residuals,1.0,8.218550486,1_good
Mom12m,Jegadeesh and Titman,1993,JF,momentum,Momentum (12 month),1.0,3.74,1_good
Mom6m,Jegadeesh and Titman,1993,JF,momentum,Momentum (6 month),1.0,2.44,1_good
DivSeason,Hartzmark and Salomon,2013,JFE,payout indicator,Dividend seasonality,1.0,16.19363096,1_good
CBOperProf,Ball et al.,2016,JFE,profitability,Cash-based operating profitability,1.0,3.17,1_good
roaq,"Balakrishnan, Bartov and Faurel",2010,JAE,profitability,Return on assets (qtrly),1.0,6.45,1_good
GP,Novy-Marx,2013,JFE,profitability,gross profits / total assets,1.0,2.49,1_good
ReturnSkew,"Bali, Engle and Murray",2015,Book,risk,Return skewness,-1.0,4.01,1_good
STreversal,Jegadeesh,1990,JF,short-term reversal,Short term reversal,-1.0,12.44,1_good
Size,Banz,1981,JFE,size,Size,-1.0,3.07,1_good
EP,Basu,1977,JF,valuation,Earnings-to-Price Ratio,1.0,,1_good
BM,Stattman,1980,Other,valuation,"Book to market, original (Stattman 1980)",1.0,,1_good
EntMult,Loughran and Wellman,2011,JFQA,valuation,Enterprise Multiple,-1.0,6.54,1_good
IdioVol3F,Ang et al.,2006,JF,volatility,Idiosyncratic risk (3 factor),-1.0,3.1,1_good
RealizedVol,Ang et al.,2006,JF,volatility,Realized (Total) Volatility,-1.0,2.86,1_good
MaxRet,"Bali, Cakici, and Whitelaw",2011,JFE,volatility,Maximum return over month,-1.0,2.83,1_good
DolVol,"Brennan, Chordia, Subra",1998,JFE,volume,Past trading volume,-1.0,2.86,1_good
