permno,permco,date,shrcd,exchcd,ticker,ret,shrout,prc,retx
14593,7,2002-01-31,11,3,AAPL,0.128767,353250.0,24.72,0.128767
14593,7,2002-02-28,11,3,AAPL,-0.122168,353383.0,21.7,-0.122168
14593,7,2002-03-28,11,3,AAPL,0.090783,354085.0,23.67,0.090783
14593,7,2002-04-30,11,3,AAPL,0.025349,354085.0,24.27,0.025349
14593,7,2002-05-31,11,3,AAPL,-0.039967,355700.0,23.3,-0.039967
14593,7,2002-06-28,11,3,AAPL,-0.239485,358855.0,17.72,-0.239485
14593,7,2002-07-31,11,3,AAPL,-0.138826,358886.0,15.26,-0.138826
14593,7,2002-08-30,11,3,AAPL,-0.033421,358886.0,14.75,-0.033421
14593,7,2002-09-30,11,3,AAPL,-0.016949,358959.0,14.5,-0.016949
14593,7,2002-10-31,11,3,AAPL,0.108276,359008.0,16.07,0.108276
14593,7,2002-11-29,11,3,AAPL,-0.03547,359008.0,15.5,-0.03547
14593,7,2002-12-31,11,3,AAPL,-0.075484,360257.0,14.33,-0.075484
14593,7,2003-01-31,11,3,AAPL,0.002093,360479.0,14.36,0.002093
14593,7,2003-02-28,11,3,AAPL,0.045265,360479.0,15.01,0.045265
14593,7,2003-03-31,11,3,AAPL,-0.057961,365545.0,14.14,-0.057961
14593,7,2003-04-30,11,3,AAPL,0.005658,365545.0,14.22,0.005658
14593,7,2003-05-30,11,3,AAPL,0.262307,365611.0,17.95,0.262307
14593,7,2003-06-30,11,3,AAPL,0.061838,366993.0,19.06,0.061838
14593,7,2003-07-31,11,3,AAPL,0.105981,366993.0,21.08,0.105981
14593,7,2003-08-29,11,3,AAPL,0.072581,362501.0,22.61,0.072581
14593,7,2003-09-30,11,3,AAPL,-0.083591,366727.0,20.72,-0.083591
14593,7,2003-10-31,11,3,AAPL,0.10473,367491.0,22.89,0.10473
14593,7,2003-11-28,11,3,AAPL,-0.086501,367491.0,20.91,-0.086501
14593,7,2003-12-31,11,3,AAPL,0.021999,368761.0,21.37,0.021999
14593,7,2004-01-30,11,3,AAPL,0.055686,369730.0,22.56,0.055686
14593,7,2004-02-27,11,3,AAPL,0.060284,369730.0,23.92,0.060284
14593,7,2004-03-31,11,3,AAPL,0.130435,372855.0,27.04,0.130435
14593,7,2004-04-30,11,3,AAPL,-0.046598,380042.0,25.78,-0.046598
14593,7,2004-05-28,11,3,AAPL,0.088441,380042.0,28.06,0.088441
14593,7,2004-06-30,11,3,AAPL,0.159658,385192.0,32.54,0.159658
14593,7,2004-07-30,11,3,AAPL,-0.006146,387925.0,32.34,-0.006146
14593,7,2004-08-31,11,3,AAPL,0.066481,387925.0,34.49,0.066481
14593,7,2004-09-30,11,3,AAPL,0.123514,391444.0,38.75,0.123514
14593,7,2004-10-29,11,3,AAPL,0.352258,391444.0,52.4,0.352258
14593,7,2004-11-30,11,3,AAPL,0.27958,402058.0,67.05,0.27958
14593,7,2004-12-31,11,3,AAPL,-0.039523,404549.0,64.4,-0.039523
14593,7,2005-01-31,11,3,AAPL,0.194099,408586.0,76.9,0.194099
14593,7,2005-02-28,11,3,AAPL,0.16671,817172.0,44.86,0.16671
14593,7,2005-03-31,11,3,AAPL,-0.07111,823137.0,41.67,-0.07111
14593,7,2005-04-29,11,3,AAPL,-0.134629,823934.0,36.06,-0.134629
14593,7,2005-05-31,11,3,AAPL,0.102587,823934.0,39.7593,0.102587
14593,7,2005-06-30,11,3,AAPL,-0.074179,827981.0,36.81,-0.074179
14593,7,2005-07-29,11,3,AAPL,0.158653,829829.0,42.65,0.158653
