date,permno,re,size,value,prof,growth,ep,sp,mom,mom12,price,age
2015-06-30,10104,-0.073350251,19.011555113,-1.334202069,-0.982999177,0.043531561,0.0615571606,0.0002160504,0.1169663188,0.0496983727,3.7725310652,5.8664680569
2015-06-30,10107,-0.05783182,19.654890682,-1.348037557,-0.848984308,0.1608299612,0.0680432085,0.0002506876,0.0488707499,0.191990838,3.8471644461,5.8664680569
2015-06-30,10138,-0.030239174,16.915659869,-1.515961345,-1.066817025,0.1802851266,0.0466190732,0.0001587613,0.024703124,0.0423439145,4.3906146821,5.8636311756
2015-06-30,10145,-0.021401111,18.103102901,-1.35195923,-1.310920075,0.0821192542,0.0532861486,0.0005445855,0.05896304,0.0950636363,4.6463121,6.5294188383
2015-06-30,10147,0.0062642079,17.803121112,-0.759876324,-1.043061891,0.18596136,0.0543185251,0.0004485916,-0.057095389,0.0297192204,3.2710887021,5.8636311756
2015-06-30,10180,-0.048801776,15.057046741,-2.212443234,-0.888108115,0.1556474591,0.0217846886,0.0001336218,-0.06755091,0.3979287469,3.8264651503,5.7930136084
2015-06-30,10182,-0.088086151,14.685475032,-0.0233235,-1.612946496,0.1661246062,0.085956955,0.0128312794,-0.05772991,-0.054207252,4.1450376596,5.8636311756
2015-06-30,10220,-0.014719184,15.090840805,-1.163882898,-0.9192301,-0.084903397,0.0874220993,0.0008626293,0.1288652454,0.0100221805,3.5052570791,4.0943445622
2015-06-30,10299,-0.075653061,16.236256273,-2.341648121,-0.726173695,0.1253842627,0.03729212,0.0001197203,0.0860465774,0.0173727342,3.868071086,5.8607862235
2015-06-30,10302,-0.135469735,14.361920715,-2.197592112,-0.639709122,-0.08241838,-0.029251532,0.0004492495,0.3111615394,0.2985378276,2.6195831864,5.8607862235
2015-06-30,10375,0.0552732423,14.818969504,-0.453949271,-2.826624702,0.0084098196,0.0550676857,0.0004734093,0.0198988388,-0.005022612,2.7562052284,5.8579331545
2015-06-30,10516,-0.087606385,17.178262971,-0.277227664,-2.22292222,0.0515676052,0.0459246756,0.0031399146,0.049597119,0.0992184195,3.9674576834,6.5294188383
2015-06-30,10517,0.0343420021,14.761107025,-0.495351555,0.0246267217,0.0078278361,0.052394542,0.0009956753,0.3187532735,0.0377438362,3.5562048024,5.9738096119
2015-06-30,10629,0.061527051,14.573318482,-0.184268845,-3.297782296,0.1204727007,0.0570965213,0.0002876565,0.055638117,0.1092543858,2.6019486533,5.8493247799
2015-06-30,10693,0.072057493,14.966106372,-1.804972145,-1.314003063,0.0446203661,0.1056739544,0.0007710966,0.1246120363,0.2736174466,3.7649141369,5.8493247799
2015-06-30,10696,0.0334373079,16.52527342,-1.26038754,-1.355755266,0.1129461242,0.0419873299,0.0003175348,0.1105284159,0.2553911805,4.3838998981,5.8493247799
2015-06-30,10777,0.0922438875,14.559146459,0.0828791436,-3.025814093,-0.003980963,0.0840943977,0.0005506756,-0.041894084,0.0943757754,5.4852118105,5.8464387751
