permno,permco,date,shrcd,exchcd,ticker,ret,shrout,prc,retx
10032,7980,2020-06-30,11,3,PLXS,0.098723,29186.0,70.56,0.098723
10026,7976,2020-06-30,11,3,JJSF,-0.007191,18888.0,127.13,-0.011661
10107,8048,2020-06-30,11,3,MSFT,0.110559,7571000.0,203.50999,0.110559
10044,7992,2020-06-30,11,3,RMCF,-0.009324,6065.0,4.25,-0.009324
10104,8045,2020-06-30,11,1,ORCL,0.027897,3068682.0,55.27,0.027897
10051,7999,2020-06-30,11,1,HNGR,-0.098039,37793.0,16.56,-0.098039
10028,7978,2020-06-30,11,2,ELA,0.699164,26924.0,6.1,0.699164
10220,53456,2020-06-30,11,1,BWXT,-0.094774,95229.0,56.64,-0.094774
10145,22168,2020-06-30,11,1,HON,-0.008639,701848.0,144.59,-0.008639
10138,8087,2020-06-30,11,3,TROW,0.02895,226990.0,123.5,0.021505
10232,8158,2020-06-30,11,3,ESBK,-0.02193,3523.0,11.0,-0.035088
10252,8179,2020-06-30,11,3,INDB,-0.027638,32942.0,67.09,-0.03426
10200,8135,2020-06-30,11,3,RGEN,-0.056196,52495.0,123.61,-0.056196
10158,53454,2020-06-30,11,1,AMRC,0.294501,29510.0,27.78,0.294501
10239,714,2020-06-30,11,3,PTVCB,0.090449,11610.0,15.07,0.090449
10253,7922,2020-06-30,11,2,DSS,0.096644,2880.0,8.17,0.096644
10333,8254,2020-06-30,11,3,XOMA,-0.041707,11018.0,19.76,-0.041707
10294,2089,2020-06-30,11,1,HVT,-0.068188,1532.0,-15.985,-0.076279
10257,8185,2020-06-30,11,3,DLHC,-0.008108,12354.0,7.34,-0.008108
10258,8186,2020-06-30,11,3,CLDX,3.868914,39094.0,13.0,3.868914
10308,8228,2020-06-30,11,2,TMP,0.006527,14907.0,64.77,0.006527
10355,8278,2020-06-30,11,3,DJCO,-0.036059,1381.0,270.0,-0.036059
10421,8340,2020-06-30,11,3,SKYW,0.01715,50140.0,32.62,0.01715
10318,8237,2020-06-30,11,3,BCPC,-0.057526,32341.0,94.86,-0.057526
10443,8360,2020-06-30,11,3,FRPH,0.026043,9563.0,40.58,0.026043
10397,8317,2020-06-30,11,3,WERN,-0.0582,69097.0,43.53,-0.0582
10382,8299,2020-06-30,11,3,ASTE,0.09016,22603.0,46.31,0.09016
10501,8418,2020-06-30,11,3,AMWD,0.205386,16943.0,75.65,0.205386
10363,8284,2020-06-30,11,3,AMAG,-0.007782,34463.0,7.65,-0.007782
10514,8431,2020-06-30,11,3,TWMC,0.462687,1825.0,6.86,0.462687
10547,8458,2020-06-30,11,3,CLFD,0.0094,13647.0,13.96,0.0094
10516,20207,2020-06-30,11,1,ADM,0.015009,555496.0,39.9,0.015009
10463,8377,2020-06-30,11,3,REFR,-0.08764,31576.0,4.06,-0.08764
10530,8441,2020-06-30,11,3,VIVO,0.506468,42839.0,23.29,0.506468
10550,8461,2020-06-30,11,3,PDEX,-0.095432,3811.0,17.82,-0.095432
10517,5674,2020-06-30,11,1,AAN,0.231103,67572.0,45.4,0.230019
10606,8508,2020-06-30,11,1,WTS,-0.025974,27489.0,81.0,-0.025974
10649,8551,2020-06-30,11,3,PTSI,-0.118911,5776.0,30.75,-0.118911
10629,8534,2020-06-30,11,1,FNB,0.012146,323060.0,7.5,0.012146
10693,8596,2020-06-30,11,1,EHC,-0.150717,99405.0,61.93,-0.154539
10645,8549,2020-06-30,11,3,LAKE,0.546897,7976.0,22.43,0.546897
10696,8598,2020-06-30,11,3,FISV,-0.085698,669400.0,97.62,-0.085698
10777,8674,2020-06-30,11,3,FCNCA,0.053039,8929.0,405.01999,0.052
10661,8565,2020-06-30,11,3,CYAN,0.109524,6028.0,2.33,0.109524
10779,65,2020-06-30,11,2,BKTI,0.206406,12493.0,3.39,0.206406
10781,8677,2020-06-30,11,3,BKSC,0.016953,5531.0,16.79,0.016953
10812,8702,2020-06-30,11,3,HTLD,-0.048402,81356.0,20.82,-0.049315
10890,21814,2020-06-30,11,1,UIS,-0.039613,62970.0,10.91,-0.039613
10909,8786,2020-06-30,11,3,CERN,-0.057202,305268.0,68.55,-0.059671
10860,8743,2020-06-30,11,3,OSUR,-0.200138,71408.0,11.63,-0.200138
10932,8810,2020-06-30,11,1,WBS,0.010954,90170.0,28.61,0.010954
10933,8811,2020-06-30,11,1,MKL,0.028693,13775.0,923.16998,0.028693
10866,20342,2020-06-30,11,1,CAL,0.172943,38772.0,8.34,0.16318
10966,8839,2020-06-30,11,3,AXGN,-0.047423,40021.0,9.24,-0.047423
10892,8766,2020-06-30,11,3,WSFS,0.037225,50660.0,28.7,0.037225
10901,8778,2020-06-30,11,3,ITIC,-0.034417,1892.0,121.32,-0.037906
11018,8889,2020-06-30,11,1,FBP,0.021938,218158.0,5.59,0.021938
11043,8909,2020-06-30,11,3,PMD,-0.043103,5507.0,5.55,-0.043103
11006,8879,2020-06-30,11,3,FLIC,0.070072,23849.0,16.34,0.070072
10874,20344,2020-06-30,11,1,BC,0.163607,79128.0,64.01,0.163607
11154,9010,2020-06-30,11,3,PLAB,-0.071726,65622.0,11.13,-0.071726
11174,9023,2020-06-30,11,3,CRMT,0.104311,6633.0,87.87,0.104311
11208,9058,2020-06-30,11,1,OFG,0.106173,51341.0,13.37,0.100412
11144,9002,2020-06-30,11,1,AVD,0.034587,30164.0,13.76,0.034587
11267,9117,2020-06-30,11,1,CATO,-0.156701,22252.0,8.18,-0.156701
11275,9128,2020-06-30,11,3,KRMD,-0.112648,43903.0,8.98,-0.112648
11308,20468,2020-06-30,11,1,KO,-0.034062,4294891.0,44.68,-0.042845
11292,9146,2020-06-30,11,3,ICCC,0.048049,7213.0,4.7267,0.048049
11343,9188,2020-06-30,11,3,SAFM,-0.122178,22240.0,115.89,-0.122178
11348,9193,2020-06-30,11,3,CNBKA,0.030769,3652.0,77.72,0.030769
11368,6977,2020-06-30,11,3,AIRT,0.018198,2882.0,11.75,0.018198
11293,9147,2020-06-30,11,3,WSBC,-0.036881,67211.0,20.31,-0.051821
11404,20499,2020-06-30,11,1,ED,-0.0417,334102.0,71.93,-0.0417
11285,9141,2020-06-30,11,3,FBNC,-0.006294,28977.0,25.08,-0.013375
11394,9235,2020-06-30,11,3,THMO,-0.097403,6709.0,5.56,-0.097403
11397,9239,2020-06-30,11,3,WASH,0.04035,17260.0,32.75,0.024398
11369,9213,2020-06-30,11,3,UBSI,-0.036795,129755.0,27.66,-0.048831
11370,53461,2020-06-30,11,1,ENV,0.012808,53514.0,73.54,0.012808
11379,9222,2020-06-30,11,3,DXLG,0.521526,51078.0,0.6503,0.521526
11403,9245,2020-06-30,11,3,CDNS,0.051156,278794.0,95.96,0.051156
11441,9278,2020-06-30,11,3,NHLD,0.007426,13585.0,-2.035,0.007426
11499,176,2020-06-30,11,3,CECE,0.241055,35494.0,6.59,0.241055
11511,9340,2020-06-30,11,3,CPSH,0.704225,13207.0,2.42,0.704225
11442,9280,2020-06-30,11,3,CHCO,0.036089,16077.0,65.17,0.036089
11533,9360,2020-06-30,11,1,FICO,0.038222,29003.0,418.04001,0.038222
11481,9312,2020-06-30,11,3,EBIX,0.001116,30508.0,22.36,-0.002231
11547,9370,2020-06-30,11,1,CNMD,-0.016619,28536.0,71.99,-0.019344
11565,9389,2020-06-30,11,3,HBNC,0.04191,43822.0,10.69,0.04191
11587,392,2020-06-30,11,3,ATRI,-0.005343,1829.0,637.01001,-0.007757
11581,323,2020-06-30,11,1,EPAC,-0.01676,59748.0,17.6,-0.01676
11593,9418,2020-06-30,11,3,SNFCA,0.039291,16208.0,6.745,0.039291
11618,9440,2020-06-30,11,3,FAST,0.038294,573571.0,42.84,0.038294
11644,9465,2020-06-30,11,1,CRK,-0.182836,231808.0,4.38,-0.182836
11636,9457,2020-06-30,11,3,HRTX,-0.192645,90855.0,14.71,-0.192645
11664,53462,2020-06-30,11,1,GDOT,0.28549,52979.0,49.08,0.28549
11600,9424,2020-06-30,11,3,XRAY,-0.050731,218400.0,44.06,-0.052881
11628,9449,2020-06-30,11,1,CPF,-0.004966,28115.0,16.03,-0.004966
11654,9476,2020-06-30,11,3,NAII,0.001464,6752.0,6.84,0.001464
11748,8686,2020-06-30,11,3,DGICB,0.047835,5577.0,-12.705,0.047835
11691,157,2020-06-30,11,1,MATX,0.018551,43041.0,29.1,0.018551
11701,9522,2020-06-30,11,3,IMKTA,0.010796,14204.0,43.07,0.010796
11731,9550,2020-06-30,11,1,AIN,-0.023217,30700.0,58.71,-0.026368
11752,9558,2020-06-30,11,3,IIVI,-0.006522,92560.0,47.22,-0.006522
11674,20574,2020-06-30,11,1,DTE,0.008762,192612.0,107.5,-0.000651
11786,9588,2020-06-30,11,3,SIVB,0.003632,51741.0,215.53,0.003632
11825,9632,2020-06-30,11,3,CYBE,0.000621,7232.0,32.21,0.000621
11803,9604,2020-06-30,11,3,MITK,0.030011,41283.0,9.61,0.030011
