date,GE
1925-12-31,
1926-01-02,0.001534
1926-01-04,-0.004594
1926-01-05,0.001538
1926-01-06,0.002304
1926-01-07,0.009579
1926-01-08,0.020114
1926-01-09,0.017485
1926-01-11,-0.001463
1926-01-12,0.015379
1926-01-13,-0.016228
1926-01-14,-0.008798
1926-01-15,-0.008506
1926-01-16,0.001119
1926-01-18,0.000745
1926-01-19,-0.002234
1926-01-20,0.010448
1926-01-21,-0.016248
1926-01-22,0.003003
1926-01-23,0.005988
1926-01-25,0.0
1926-01-26,-0.004464
1926-01-27,0.005979
1926-01-28,0.006686
1926-01-29,0.004428
1926-01-30,-0.000735
1926-02-01,-0.002941
1926-02-02,0.0
1926-02-03,0.007375
1926-02-04,0.019034
1926-02-05,-0.002874
1926-02-06,-0.005764
1926-02-08,-0.002899
1926-02-09,0.002907
1926-02-10,0.045652
1926-02-11,0.018711
1926-02-13,0.040816
1926-02-15,-0.037909
1926-02-16,0.014946
1926-02-17,0.004016
1926-02-18,0.018667
1926-02-19,-0.000654
1926-02-20,-0.007204
1926-02-23,-0.007916
1926-02-24,-0.005652
1926-02-25,-0.050485
1926-02-26,-0.016901
1926-02-27,-0.031519
1926-03-01,-0.019231
1926-03-02,-0.036199
1926-03-03,-0.045383
1926-03-04,0.078689
1926-03-05,-0.016717
1926-03-06,-0.009274
1926-03-08,0.026521
1926-03-09,0.0
1926-03-10,0.004587
1926-03-11,-0.000761
1926-03-12,-0.000762
1926-03-13,-0.030488
1926-03-15,0.022013
1926-03-16,-0.018462
1926-03-17,-0.001567
1926-03-18,-0.010989
1926-03-19,-0.001587
1926-03-20,-0.019873
1926-03-22,0.010543
1926-03-23,-0.022472
1926-03-24,-0.03202
1926-03-25,0.004665
1926-03-26,0.010131
1926-03-27,-0.02173
1926-03-29,-0.020931
1926-03-30,0.021815
1926-03-31,0.044407
1926-04-01,-0.004088
1926-04-03,-0.000821
1926-04-05,0.006574
1926-04-06,0.012245
1926-04-07,-0.007258
1926-04-08,-0.009748
1926-04-09,0.001641
1926-04-10,-0.009009
1926-04-12,-0.031405
1926-04-13,0.009386
1926-04-14,-0.026205
1926-04-15,0.015625
1926-04-16,-0.010256
1926-04-17,0.005181
1926-04-19,0.006014
1926-04-20,0.003843
1926-04-21,0.017439
1926-04-22,0.013378
1926-04-23,0.009901
1926-04-24,0.062092
1926-04-26,-0.016923
1926-04-27,-0.00313
1926-04-28,0.016876
1926-04-29,-0.001158
1926-04-30,-0.001932
1926-05-01,-0.00271
1926-05-03,-0.021739
1926-05-04,0.007143
1926-05-05,-0.000788
1926-05-06,0.003155
1926-05-07,-0.012579
1926-05-08,0.0
1926-05-10,-0.008758
1926-05-11,-0.000803
1926-05-12,0.009646
1926-05-13,-0.000796
1926-05-14,-0.008367
1926-05-15,-0.005625
1926-05-17,0.004444
1926-05-18,-0.004023
1926-05-19,-0.009289
1926-05-20,0.010192
1926-05-21,0.010492
1926-05-22,-0.003195
1926-05-24,0.009215
1926-05-25,-0.001985
1926-05-26,0.005569
1926-05-27,0.012658
1926-05-28,0.0
1926-06-01,-0.004688
1926-06-02,0.006279
1926-06-03,0.00156
1926-06-04,0.022052
1926-06-05,0.003086
1926-06-07,-0.004615
1926-06-08,-0.00468
1926-06-09,0.0
1926-06-10,-0.007837
1926-06-11,0.015798
1926-06-12,0.007776
1926-06-14,0.009259
1926-06-15,0.006116
1926-06-16,0.025836
1926-06-17,0.031111
1926-06-18,-0.025862
1926-06-19,0.011799
1926-06-21,-0.005831
1926-06-22,0.005865
1926-06-23,-0.020408
1926-06-24,0.011905
1926-06-25,-0.010294
1926-06-26,0.001486
1926-06-28,0.005935
1926-06-29,0.00885
1926-06-30,0.0
1926-07-01,0.0
1926-07-02,0.0
1926-07-06,0.00731
1926-07-07,0.0
1926-07-08,0.004354
1926-07-09,-0.011561
1926-07-10,0.005848
1926-07-12,0.0
1926-07-13,0.023256
1926-07-14,0.015625
1926-07-15,-0.016783
1926-07-16,0.01138
1926-07-17,0.011252
1926-07-19,0.005563
1926-07-20,-0.017981
1926-07-21,-0.012676
1926-07-22,-0.008559
1926-07-23,0.002878
1926-07-24,-0.011478
1926-07-26,0.008708
1926-07-27,0.004317
1926-07-28,0.014327
1926-07-29,0.002825
1926-07-30,0.011268
1926-07-31,-0.001393
1926-08-02,-0.011158
1926-08-03,0.00141
1926-08-04,0.015493
1926-08-05,0.001387
1926-08-06,-0.00554
1926-08-07,0.002786
1926-08-09,0.002778
1926-08-10,-0.016621
1926-08-11,-0.008451
1926-08-12,0.026989
1926-08-13,0.034578
1926-08-14,0.020054
1926-08-16,-0.019659
1926-08-17,-0.010695
1926-08-18,-0.001351
1926-08-19,-0.010825
1926-08-20,-0.004104
1926-08-21,0.004121
1926-08-23,0.002736
1926-08-24,-0.00955
1926-08-25,-0.008264
1926-08-26,0.004167
1926-08-27,-0.001383
1926-08-28,0.0
1926-08-30,-0.00277
1926-08-31,0.005556
1926-09-01,0.012431
1926-09-02,-0.006821
1926-09-03,0.005495
1926-09-07,0.005464
1926-09-08,-0.009511
1926-09-09,-0.002743
1926-09-10,-0.013755
1926-09-11,-0.006974
1926-09-13,0.008427
1926-09-14,0.008357
1926-09-15,-0.008287
1926-09-16,-0.005618
1926-09-17,-0.007062
1926-09-18,0.007112
1926-09-20,-0.028249
1926-09-21,0.013081
1926-09-22,-0.007174
1926-09-23,0.004335
1926-09-24,0.01295
1926-09-25,0.014205
1926-09-27,-0.014006
1926-09-28,-0.002841
1926-09-29,-0.002849
1926-09-30,0.005714
1926-10-01,0.00142
1926-10-02,0.0
1926-10-04,-0.024114
