date,MSFT,AAPL,CSCO,ORCL,GOOGL
2004-08-20,0.00295,0.002931,-0.011518,-0.010557,0.079484
2004-08-23,0.004412,0.009091,0.01589,-0.00097,0.010064
2004-08-24,0.0,0.027992,-0.010949,0.002913,-0.041408
2004-08-25,0.01138,0.034429,0.01845,0.006776,0.010775
2004-08-26,-0.003993,0.048714,-0.007764,-0.016346,0.018019
2004-08-27,0.000729,-0.008944,0.015649,0.005865,-0.01631
2004-08-30,-0.005827,-0.006696,-0.022599,-0.017493,-0.039001
2004-08-31,0.0,0.010844,-0.014188,-0.013848,0.003529
2004-09-01,0.003297,0.039722,0.017591,0.008024,-0.020709
2004-09-02,0.008397,-0.005577,0.011001,0.023881,0.012569
2004-09-03,-0.018465,-0.012058,-0.028497,-0.025267,-0.014777
2004-09-07,0.009222,0.015044,0.016,0.004985,0.015698
2004-09-08,-0.003655,0.016499,0.013648,-0.021825,0.007088
2004-09-09,0.000734,-0.017882,0.032108,0.007099,9.8e-05
2004-09-10,0.007698,0.004762,0.026593,0.053374,0.029518
2004-09-13,-0.00873,-0.007806,-0.010264,0.015296,0.020602
2004-09-14,0.006973,-0.00281,0.004938,-0.006591,0.037116
2004-09-15,-0.009111,-0.008171,-0.038821,0.073934,0.004574
2004-09-16,0.002574,0.03267,0.001534,-0.008826,0.017589
2004-09-17,0.009171,0.021733,-0.02195,0.024933,0.030885
2004-09-20,0.0,0.015347,0.007307,-0.009557,0.015916
2004-09-21,-0.009088,0.007955,0.018135,0.000877,-0.012735
2004-09-22,-0.005136,-0.028677,-0.035115,-0.023663,0.004582
2004-09-23,0.008481,0.00948,-0.003165,-0.008079,0.020612
2004-09-24,-0.002194,0.000537,-0.026455,-0.000905,-0.008194
2004-09-27,-0.003664,0.006436,-0.019565,0.013587,-0.013102
2004-09-28,0.002942,0.013589,0.001663,0.015192,0.072721
2004-09-29,0.011368,0.016824,0.013282,0.006162,0.033265
2004-09-30,0.002538,0.00181,-0.011469,-0.013123,-0.011291
2004-10-01,0.0217,-0.002065,0.045856,0.054965,0.022994
2004-10-04,-0.004602,0.003103,0.001585,-0.002521,0.018706
2004-10-05,0.009246,0.014952,0.007384,0.028644,0.024508
2004-10-06,0.005285,0.032258,0.022513,0.002457,-0.009323
2004-10-07,-0.012618,-0.025098,-0.020481,0.004085,0.012912
2004-10-08,-0.00639,-0.014134,-0.018296,-0.009764,-0.008066
2004-10-11,0.002501,-0.012033,0.01065,0.002465,-0.017934
2004-10-12,-0.001069,-0.007774,0.009484,-0.004098,0.015821
2004-10-13,0.0,0.03813,-0.015658,-0.013169,0.025473
2004-10-14,-0.008206,0.131572,-0.014316,0.000834,0.007807
2004-10-15,0.006835,0.011561,-0.005917,0.02,0.014859
2004-10-18,0.015005,0.049451,0.009199,0.014706,0.035043
2004-10-19,-0.008096,-0.006911,0.002681,-0.008857,-0.008179
2004-10-20,0.018417,0.001054,-0.013369,0.008936,-0.050358
2004-10-21,-0.004843,0.009901,0.009756,0.00161,0.063279
2004-10-22,-0.028712,-0.011056,-0.019324,-0.01045,0.154304
2004-10-25,-0.003965,0.002953,-0.011494,-0.014622,0.086818
2004-10-26,0.009772,0.008833,0.002769,0.011542,-0.029883
2004-10-27,0.008961,0.048572,0.024296,0.02608,0.022937
2004-10-28,-0.004973,0.037575,0.021563,0.011914,0.039415
2004-10-29,-0.001428,0.004024,0.01372,-0.006279,-0.013761
2004-11-01,0.003933,0.000954,0.002603,0.007109,0.028273
2004-11-02,0.005698,0.020019,0.001558,0.003922,-0.005917
2004-11-03,0.008144,0.033832,-0.000518,0.002344,-0.016421
2004-11-04,0.018616,-0.015549,0.012448,0.021045,-0.036365
2004-11-05,0.01069,0.004959,0.023053,0.005343,-0.083108
2004-11-08,-0.001024,-0.006213,0.0,-0.004556,0.018896
2004-11-09,0.016735,-0.006068,-0.011017,0.018307,-0.022312
2004-11-10,-0.001344,0.012951,-0.066329,0.002247,-0.004979
2004-11-11,0.008409,0.010046,0.016269,-0.017937,0.090313
2004-11-12,-0.000334,0.003617,0.027748,0.019026,-0.005573
2004-11-15,0.016683,-0.004685,0.015057,-0.028379,0.015769
2004-11-16,-0.009858,-0.005521,-0.008696,-0.006918,-0.066669
2004-11-17,0.001844,-0.000637,0.008256,0.016254,-0.000261
2004-11-18,-0.003681,0.008925,-0.001024,-0.012186,-0.028754
2004-11-19,-0.007758,-0.003972,-0.026127,-0.016962,0.011102
2004-11-22,-0.007818,0.112017,0.007365,-0.00549,-0.025384
2004-11-23,-0.004503,-0.001304,-0.007833,0.001577,0.014658
2004-11-24,0.004146,0.045373,0.011053,0.007087,0.043219
2004-11-26,-0.001501,0.007806,0.001041,-0.010164,0.026494
2004-11-29,0.006391,0.060263,-0.015081,0.00158,0.009254
2004-11-30,0.001494,-0.02031,-0.010032,0.004732,0.005137
2004-12-01,0.016412,0.011037,0.021333,0.027473,-0.0111
2004-12-02,-0.005872,-0.038059,0.002611,-0.010695,-0.003112
2004-12-03,0.005168,-0.038798,0.011979,0.006178,0.005574
2004-12-06,0.003672,0.049458,0.020072,0.023791,-0.022783
2004-12-07,-0.009513,-0.043934,-0.004541,-0.02099,-0.027568
2004-12-08,0.010713,0.006201,0.003548,0.011485,-0.008458
2004-12-09,-0.004752,0.01122,-0.020202,0.006056,0.020297
2004-12-10,-0.005509,0.018128,0.001031,-0.000752,-0.010264
2004-12-13,0.006278,-0.003684,-0.007724,0.101657,-0.006991
2004-12-14,-0.000734,0.005854,0.000519,-0.027341,0.048343
2004-12-15,-0.004407,-0.000459,0.006224,-0.009838,0.0061
2004-12-16,0.001844,0.020472,0.0,0.0,-0.018411
2004-12-17,-0.007364,-0.024116,-0.021134,-0.007807,0.020457
2004-12-20,-0.000371,-0.034928,0.00316,-0.028612,0.027432
2004-12-21,0.004453,0.015466,0.016273,0.015464,-0.006864
2004-12-22,-0.003694,0.000942,-0.002066,-0.006526,0.013878
2004-12-23,0.001483,0.004078,0.006729,-0.00438,0.008588
2004-12-27,-0.005924,-0.013279,-0.007712,0.000733,0.021341
2004-12-28,0.003724,0.01615,-0.002072,0.01392,0.004429
2004-12-29,-0.001855,0.004051,0.002596,-0.008671,0.000726
2004-12-30,-0.005204,0.005587,0.005697,0.011662,0.024365
2004-12-31,-0.001495,-0.006173,-0.005149,-0.011527,-0.024342
2005-01-03,0.000749,-0.017236,0.0,-0.022595,0.051455
2005-01-04,0.00374,0.01027,-0.039338,-0.0261,-0.040501
2005-01-05,-0.002235,0.008758,0.000539,0.003063,-0.00509
2005-01-06,-0.00112,0.000775,0.015078,0.00916,-0.025632
2005-01-07,-0.002991,0.072812,-0.006897,0.008321,0.028109
2005-01-10,0.004874,-0.004188,0.0,-0.010503,0.006242
2005-01-11,-0.002612,-0.063805,-0.004274,0.000758,-0.007793
2005-01-12,0.001871,0.013941,0.015558,0.021212,0.009507
2005-01-13,-0.019044,0.0663,-0.007924,0.0,-0.000256
2005-01-14,-0.00571,0.005731,0.005325,0.011128,0.023755
2005-01-18,0.007657,0.00641,-0.007415,0.011005,0.019653
2005-01-19,-0.012918,-0.010899,-0.031484,-0.022496,-0.032369
2005-01-20,-0.004619,0.0083,0.009366,-0.014106,-0.017131
2005-01-21,-0.008121,0.000426,-0.016921,0.002259,-0.029084
2005-01-24,0.00078,0.00383,-0.014436,-0.005259,-0.040153
2005-01-25,0.013635,0.018231,-0.013521,0.026435,-0.01992
2005-01-26,-0.000384,0.002776,0.01028,0.002207,0.068428
2005-01-27,0.003845,0.005398,0.027699,0.025698,-0.00613
2005-01-28,0.002681,0.018447,-0.015402,-0.020759,0.012016
2005-01-31,0.00382,0.03947,0.007821,0.006579,0.02774
2005-02-01,0.004186,0.008192,0.004989,-0.008715,-0.019017
2005-02-02,0.002653,0.027086,0.001103,-0.006593,0.073267
2005-02-03,-0.010582,-0.022856,-0.034711,-0.016224,0.023791
2005-02-04,0.005348,0.013237,0.021689,0.023988,-0.030826
2005-02-07,-0.006079,0.001268,0.014525,-0.008053,-0.040761
2005-02-08,0.003058,0.024829,0.004405,-0.005904,0.013314
2005-02-09,-0.006479,-0.0267,-0.033443,-0.022272,-0.035542
2005-02-10,-0.000384,-0.004826,-0.002836,-0.002278,-0.018791
2005-02-11,-0.003454,0.036371,0.006826,0.015982,-0.003085
2005-02-14,0.00154,0.042113,0.015254,-0.002996,0.029829
2005-02-15,0.0,0.044665,-0.002782,-0.001503,0.011607
2005-02-16,-0.005399,0.019455,-0.011719,0.00301,0.016289
2005-02-17,-0.005429,-0.025741,-0.014681,-0.027757,-0.00257
2005-02-18,-0.006628,-0.011388,-0.008596,-0.001543,0.000253
2005-02-22,-0.009812,-0.01751,0.000578,-0.021638,-0.033241
2005-02-23,-0.001189,0.034471,-0.001733,0.022907,0.013482
2005-02-24,0.006746,0.007934,-0.005787,0.004633,-0.026089
2005-02-25,-0.00473,0.000675,0.001164,0.009224,-0.015988
2005-02-28,-0.003564,0.008203,0.012791,-0.013709,0.011406
2005-03-01,0.00477,-0.008025,0.004592,0.015444,-0.010267
2005-03-02,-0.000791,-0.008517,0.013714,-0.007605,-0.00473
2005-03-03,-0.003563,-0.052832,0.003382,0.003065,0.009855
2005-03-04,0.0,0.024408,0.013483,0.014515,-0.005909
2005-03-07,0.011919,-0.001402,0.011086,0.024096,0.015654
2005-03-08,-0.002748,-0.05193,-0.006579,0.001471,-0.01912
2005-03-09,-0.003543,-0.029114,0.022627,-0.019824,-0.020788
2005-03-10,0.004741,0.012198,0.009714,-0.006742,-0.007555
2005-03-11,-0.01337,0.011047,-0.013896,-0.012821,-0.012112
2005-03-14,0.000797,0.001242,0.004878,0.004584,-0.015804
2005-03-15,-0.007965,0.015873,-0.015642,0.0,0.020687
2005-03-16,-0.011241,0.005371,-0.009863,-0.009886,-0.016852
2005-03-17,-0.003654,0.025984,-0.002214,0.010753,0.021014
2005-03-18,-0.009373,0.016805,-0.012757,-0.047113,0.004183
2005-03-21,-0.004525,0.017225,0.007865,0.008772,0.004666
2005-03-22,-0.008678,-0.019908,-0.001115,-0.012648,-0.012605
2005-03-23,0.00792,-0.006538,-0.009487,0.001601,0.002128
2005-03-24,0.004136,-0.001175,0.007324,-0.008793,0.001509
2005-03-28,-0.003295,0.000706,0.000559,0.002419,0.012106
2005-03-29,-0.01157,-0.01834,-0.007826,-0.012068,-0.010197
2005-03-30,0.010033,0.02515,0.015775,0.016287,0.004901
2005-03-31,0.000414,-0.026402,-0.007765,0.0,0.000332
2005-04-01,-0.002069,-0.018719,-0.01062,0.004006,-0.002604
2005-04-04,0.00456,0.004891,-0.001695,0.012769,0.02916
2005-04-05,0.009905,0.019469,0.008489,-0.018913,0.017702
2005-04-06,0.008173,0.010504,-0.002806,-0.005622,0.003447
2005-04-07,0.01743,0.029057,0.021384,0.005654,0.023993
2005-04-08,-0.006375,0.004132,-0.013774,-0.007229,-0.008825
2005-04-11,0.001203,-0.04161,0.005028,0.003236,0.006144
2005-04-12,0.014017,0.017653,0.013897,0.007258,0.003752
2005-04-13,-0.011058,-0.037975,-0.013158,-0.018415,-0.005285
2005-04-14,-0.007987,-0.092105,-0.010556,-0.013866,-0.007671
2005-04-15,-0.015298,-0.051261,-0.03425,-0.032258,-0.03369
2005-04-18,0.007768,0.007638,-0.010465,0.008547,0.010649
2005-04-19,-0.000811,0.041269,0.009401,0.00678,0.023694
2005-04-20,-0.012586,-0.042599,0.000582,-0.008418,0.035005
2005-04-21,0.039474,0.047029,0.028505,0.033107,0.030894
2005-04-22,-0.011867,-0.045186,-0.01414,-0.020542,0.056753
2005-04-25,0.0004,0.04169,0.002869,0.012584,0.035772
2005-04-26,-0.009204,-0.021363,-0.011442,-0.015742,-0.021384
2005-04-27,0.009289,-0.006632,-0.001736,0.001683,0.004709
2005-04-28,-0.021609,-0.011405,-0.006377,-0.023529,-0.001502
2005-04-29,0.034765,0.014631,0.007585,-0.005163,0.002506
2005-05-02,-0.002767,0.010261,-0.000579,0.00346,0.010409
2005-05-03,0.005153,-0.006039,0.002897,-0.000862,0.017545
2005-05-04,-0.005915,0.02596,0.019642,0.011217,0.010213
2005-05-05,0.000793,-0.012651,0.01983,-0.005119,-0.006652
2005-05-06,-0.000396,0.015267,0.001111,0.008576,0.004582
2005-05-09,-0.004362,-0.00725,0.010544,-0.00085,-0.008771
2005-05-10,-0.008363,-0.014877,0.0,-0.019574,0.007875
2005-05-11,0.000402,-0.022241,0.018671,0.015625,0.01532
2005-05-12,0.003613,-0.041561,0.008086,0.016239,-0.011112
2005-05-13,0.012,0.018752,0.01016,0.039529,0.002274
2005-05-16,0.010672,0.022433,0.010588,-0.000809,0.007896
2005-05-17,-0.001177,-0.005345,-0.001572,-0.011336,0.009002
2005-05-18,0.009427,0.013575,0.009444,0.009828,0.025865
2005-05-19,0.00856,0.047712,0.007276,0.00811,8.4e-05
2005-05-20,-0.006944,0.0,0.004644,0.009654,0.01016
2005-05-23,0.004274,0.058855,0.004109,0.011952,0.057282
2005-05-24,-0.003868,-0.001509,0.023018,0.007874,0.002153
2005-05-25,-0.001553,0.002015,-0.019,-0.003906,0.018789
2005-05-26,0.00739,0.024133,0.014271,0.013333,-0.006173
2005-05-27,0.006564,-0.004418,-0.005528,-0.005418,0.026235
2005-05-31,-0.010357,-0.019741,-0.019707,-0.003891,0.042368
2005-06-01,0.00155,0.013599,0.011856,0.007031,0.035922
2005-06-02,-0.001935,-0.006452,0.012736,0.006982,0.002333
2005-06-03,-0.013959,-0.044955,-0.024145,-0.030046,-0.026537
