fdate,permno,comnam,shares,prc,value,weight
1990-03-31,11308,COCA COLA CO,23350000.0,74.75,1745412500.0,0.32447815209841613
1990-03-31,30330,CAPITAL CITIES ABC INC,3000000.0,510.5,1531500000.0,0.28471108688560687
1990-03-31,62236,G E I C O CORP,6850000.0,145.75,998387500.0,0.18560365018478867
1990-03-31,53225,WASHINGTON POST CO,1727765.0,256.75,443603663.75,0.08246743797107398
1990-03-31,38906,WESCO FINANCIAL CORP,5703087.0,57.25,326501730.75,0.06069778820232731
1990-03-31,75789,FEDERAL HOME LOAN MORTGAGE CORP,2400000.0,69.25,166200000.0,0.030897148312365567
1990-03-31,39570,RORER GROUP INC,2061300.0,68.125,140426062.5,0.026105685198459787
1990-03-31,36602,FIRSTIER FINANICAL INC,324148.0,39.75,12884883.0,0.002395343808895775
1990-03-31,42112,P S GROUP INC,250900.0,32.375,8122887.5,0.0015100725620466927
1990-03-31,22066,NATIONAL SERVICE INDUSTRIES INC,225851.0,27.0,6097977.0,0.001133634776019218
1990-06-30,11308,COCA COLA CO,46700000.0,44.375,2072312500.0,0.3412917375460857
1990-06-30,30330,CAPITAL CITIES ABC INC,3000000.0,623.0,1869000000.0,0.3078079476303088
1990-06-30,62236,G E I C O CORP,6850000.0,161.75,1107987500.0,0.18247584717765475
1990-06-30,53225,WASHINGTON POST CO,1727765.0,263.0,454402195.0,0.07483606583288248
1990-06-30,38906,WESCO FINANCIAL CORP,5703087.0,-55.125,314382670.875,0.05177607527692274
1990-06-30,75789,FEDERAL HOME LOAN MORTGAGE CORP,2400000.0,75.5,181200000.0,0.029842054633821266
1990-06-30,62308,TORCHMARK CORP,516650.0,47.75,24670037.5,0.004062939331641388
1990-06-30,42112,P S GROUP INC,603275.0,37.5,22622812.5,0.0037257792858482047
1990-06-30,36602,FIRSTIER FINANICAL INC,324148.0,38.25,12398661.0,0.002041950987573008
1990-06-30,13901,PHILIP MORRIS COS INC,144000.0,46.5,6696000.0,0.0011027726149451832
1990-06-30,22066,NATIONAL SERVICE INDUSTRIES INC,225851.0,27.875,6295596.625,0.0010368296823165053
1990-09-30,11308,COCA COLA CO,46700000.0,39.5,1844650000.0,0.3701767134148479
1990-09-30,30330,CAPITAL CITIES ABC INC,3000000.0,467.0,1401000000.0,0.2811468709479858
1990-09-30,62236,G E I C O CORP,6850000.0,135.0,924750000.0,0.1855749956524981
1990-09-30,53225,WASHINGTON POST CO,1727765.0,212.5,367150062.5,0.07367815220573334
1990-09-30,38906,WESCO FINANCIAL CORP,5703087.0,44.875,255926029.125,0.05135817436305269
1990-09-30,75789,FEDERAL HOME LOAN MORTGAGE CORP,2400000.0,54.25,130200000.0,0.026127996143774267
1990-09-30,42112,P S GROUP INC,603275.0,35.75,21567081.25,0.004327992440341523
1990-09-30,62308,TORCHMARK CORP,516650.0,41.0,21182650.0,0.004250846371082335
